row,name,article,supplier,volume,parallel,price,sale_price,free,reserve,pom_free,rev_free
1008,"Вино сухое розовое  ДЭСОНО Розе Саперави 0,75л.",ДЕР012,,0.75,,726.75,,18.0,0,18.0,0
1009,"Ди Каспико Мерло сухое красное 0,75",АГ543А,Вино он-лайн АГ,0.75,,567.31,,1.0,0,1.0,0
1010,Ди Каспико Мерло сухое красное 0.75л.,АГ543Р,Вино он-лайн АГ,0.75,,567.31,,1.0,0,1.0,0
1011,Ди Каспико Розе сухое розовое 0.75л.,АГ544,Вино он-лайн АГ,0.75,,567.31,,18.0,0,18.0,0
1013,Вечерница сухое красное 0.75л. (Дивноморское),АИ629,АСТ-интернэшнл инваэронмэнт,0.75,,1292.76,,45.0,0,45.0,0
1014,Дивноморское Розе розовое сухое 0.75л,АИ1052,АСТ-интернэшнл инваэронмэнт,0.75,,2891.7,,4.0,0,4.0,0
1015,Мускат Оттонель сладкое белое 0.5л. (Дивноморское),АИ614А,АСТ-интернэшнл инваэронмэнт,0.5,,3047.6,,6.0,0,6.0,0
1016,Пино Блан сухое белое 0.75л. (Дивноморское),АИ611А,АСТ-интернэшнл инваэронмэнт,0.75,,3154.14,,1.0,0,1.0,0
1017,Рислинг сухое белое 0.75л. (Дивноморское),АИ608А,АСТ-интернэшнл инваэронмэнт,0.75,,3154.14,,2.0,0,2.0,0
1018,"Сира Дивноморское сухое красное 0,75",АИ616А,АСТ-интернэшнл инваэронмэнт,0.75,,3514.59,,3.0,0,3.0,0
1019,Солист Дивноморское сухое розовое 0.75л.,АИ625,АСТ-интернэшнл инваэронмэнт,0.75,,1296.81,,43.0,0,43.0,0
1020,Солнечный ветер Дивноморское сухое белое 0.75л.,АИ626,АСТ-интернэшнл инваэронмэнт,0.75,,1286.28,,13.0,0,13.0,0
1021,Холодный туман Дивноморское сухое белое 0.75л.,АИ627,АСТ-интернэшнл инваэронмэнт,0.75,,1266.34,,2.0,0,2.0,0
1022,Южный лес Дивноморское сухое красное 0.75л.,АИ628,АСТ-интернэшнл инваэронмэнт,0.75,,1461.24,,35.0,0,35.0,0
1024,"Вино пл. белое Мускатное 0,7л. ТМ Бордо",ДО007,Долина ООО,0.7,,355.73,,220.0,126.0,220.0,0
1025,"Вино пл. белое Татьянин день 0,7л. ТМ Бордо",ДО001,Долина ООО,0.7,,355.73,,174.0,120.0,174.0,0
1026,"Вино пл. красное Изабелла прекрасная 0,7л. ТМ Бордо",ДО002,Долина ООО,0.7,,355.73,,621.0,36.0,621.0,0
1027,"Вино пл. красное Усадьба Виноделово. Каберне-Вельвет 0,75л.",ДО006,Долина ООО,0.75,,413.02,,150.0,0,150.0,0
1028,Вино полусладкое белое  ДОМАШНЕЕ ВИНО  1л.,ДО016,Долина ООО,1,,489.98,,199.0,0,199.0,0
1029,Вино полусладкое красное  ДОМАШНЕЕ ВИНО  1л.,ДО017,Долина ООО,1,,489.98,,486.0,0,486.0,0
1030,"Вино полусладкое красное  Чаровница  0,7л.",ДО011,Долина ООО,0.7,,355.73,,24.0,0,24.0,0
1031,"Вино полусладкое красное  Чары Диониса  0,7л.",ДО012,Долина ООО,0.7,,355.73,,570.0,120.0,570.0,0
1032,"Вино сух. бел. Шардоне 0,7л. ТМ Бордо",ДО005,Долина ООО,0.7,,355.73,,351.0,108.0,351.0,0
1033,"Вино сух. крас. Каберне 0,7л. ТМ Бордо",ДО004,Долина ООО,0.7,,355.73,,699.0,108.0,699.0,0
1034,"Вино сухое красное  Каберне  0,7л.(ТМ Экспортная)",ДО018,Долина ООО,0.7,,275.48,,175.0,66.0,175.0,0
1035,"Российское вино с ЗГУ «Кубань» полусладкое белое «Усадьба Виноделово. Виорика-Мускат» 0,75л.",ДО015,Долина ООО,0.75,,413.02,,55.0,48.0,55.0,0
1036,"Российское вино с ЗГУ «Кубань» полусладкое красное «Усадьба Виноделово. Каберне-Совиньон» 0,75л.",ДО014,Долина ООО,0.75,,413.02,,154.0,120.0,154.0,0
1039,Дом Захарьиных выдержанное белое сухое вино 0.75л,ИН187,ВИННЫЙ ДОМ ИНКЕРМАН ООО,0.75,,3980.86,,6.0,0,6.0,0
1040,Древний Город красное полусладкое 0.75л Инкерман,ИН157,ВИННЫЙ ДОМ ИНКЕРМАН ООО,0.75,,584.38,,51.0,0,51.0,0
1041,Жемчужина Гранд Резерв белое сухое 0.75л,ИН178,ВИННЫЙ ДОМ ИНКЕРМАН ООО,0.75,,849.12,,12.0,0,12.0,0
1042,Жемчужина Резерв белое сухое 0.75л Инкерман,ИН155,ВИННЫЙ ДОМ ИНКЕРМАН ООО,0.75,,573.4,,66.0,0,66.0,0
1043,Каберне Резерв Красное сухое 0.75 Инкерман,ИН154,ВИННЫЙ ДОМ ИНКЕРМАН ООО,0.75,,746.64,,70.0,0,70.0,0
1045,"Вино красное полусладкое  Замок во Франции  0,75л.",КХ003,Кахети ООО,0.75,,404.71,,18.0,0,18.0,0
1046,Кларет Мерло красное сухое вино 0.75л Усадьба Маскага,ФР125,Форт Виноторговая компания,0.75,,1672.27,930.0,9.0,0,9.0,0
1047,Краса красное сухое вино 0.75л Винодельня Узунов,ФР170,Форт Виноторговая компания,0.75,,3517.08,,9.0,0,9.0,0
1048,Красная Шапочка красное сухое вино 0.75л,ФР139,Форт Виноторговая компания,0.75,,1214.39,,28.0,0,28.0,0
1051,Изабелла полусладкое красное 0.75л Баланс Вайн,СЧ054,Фирма С-2,0.75,,410.42,,9.0,0,9.0,0
1052,Каберне сухое красное 0.75л Баланс Вайн,СЧ056,Фирма С-2,0.75,,410.42,,7.0,0,7.0,0
1053,Мерло полусладкое красное 1.0 т/пак,СЧ052,Фирма С-2,1,,350.37,,29.0,0,29.0,0
1054,Мерло сухое красное 1.0л т/пак,СЧ042,Фирма С-2,1,,319.92,,35.0,0,35.0,0
1055,Шардоне сухое белое 1.0л т/пак,СЧ047,Фирма С-2,1,,319.92,,242.0,0,242.0,0
1056,"Вино ординарное сладкое красное ""Канонические Традиции"" 0,7Л",ЮЗ012,Союз-Вино,0.7,,542.55,,4.0,0,4.0,0
1057,"Вино сухое белое ""Исола дел Сол"" 0,25Л",ЮЗ013,Союз-Вино,0.25,,206.54,,143.0,0,143.0,0
1058,"Вино сухое розовое ""Исола дел Сол"" 0,25Л",ЮЗ014,Союз-Вино,0.25,,206.54,,179.0,0,179.0,0
1059,Домашнее Кубанское вино сухое белое 1.0л т/пак,СЧ040,Фирма С-2,1,,306.15,,64.0,0,64.0,0
1060,Каберне красное сухое 1.0л т/пак,СЧ045,Фирма С-2,1,,319.92,,266.0,0,266.0,0
1061,"Каберне сухое красное 1,5л Баланс Вайн",СЧ058,Фирма С-2,1.5,,774.18,,2.0,0,2.0,0
1062,Совиньон белое полусладкое 1.0л т/пак,СЧ074,Фирма С-2,1,,319.92,,24.0,0,24.0,0
1064,Вайнпарк Гренаш красное сухое 0.75л,АИ1288,АСТ-интернэшнл инваэронмэнт,0.75,,2679.08,,4.0,0,4.0,0
1065,Вайнпарк Каберне Совиньон Кучук-Исар красное сухое 0.75л,АИ1293,АСТ-интернэшнл инваэронмэнт,0.75,,3614.63,,12.0,0,12.0,0
1066,Вайнпарк Пино Блан белое сухое 0.75л,АИ1285,АСТ-интернэшнл инваэронмэнт,0.75,,2679.08,,6.0,0,6.0,0
1074,"Вино ""Крым"" сухое красное ""Каберне-Совиньон"" ТМ ""ТЕРРА-ЭГОС"" 0,75Л",АМ1003,Русвинторг,0.75,,734.43,,7.0,0,7.0,0
1075,"Вино полусладкое красное ""Мерло"" ""Сокровища КРЫМА"" 0,75Л",АМ1012,Русвинторг,0.75,,535.96,,3.0,0,3.0,0
1076,"Вино полусладкое красное ""Мирели"" ""ВАЛИКО"" 0,75Л",АМ1014,Русвинторг,0.75,,542.48,,26.0,6.0,26.0,0
1077,"Вино полусухое розовое ""Криспи Вайн"" 0,75Л",АМ1007,Русвинторг,0.75,,563.91,,83.0,0,83.0,0
1078,"Вино с защищенным географическим указанием ""Крым"" полусладкое красное ""Мерло"" ТМ ""ТЕРРА-ЭГОС"" 0,75Л",АМ1004,Русвинторг,0.75,,734.43,,2.0,0,2.0,0
1079,"Вино сладкое белое ""Мускат Ркацители"" ""Сокровища КРЫМА"" 0,75Л",АМ1011,Русвинторг,0.75,,535.96,,1.0,0,1.0,0
1080,"Вино сладкое красное ""Мускат Черный"" ""Сокровища КРЫМА"" 0,75Л",АМ1013,Русвинторг,0.75,,535.96,,4.0,0,4.0,0
1081,"Вино сухое белое ""Ркацители"" товарный знак ""ВАЛИКО"" 0,75Л",АМ1006,Русвинторг,0.75,,542.48,,164.0,6.0,164.0,0
1082,"Вино сухое белое ""Совиньон"" ""Сокровища КРЫМА"" 0,75Л",АМ1008,Русвинторг,0.75,,535.96,,486.0,0,486.0,0
1084,"Вино сухое красное ""Каберне"" ""Сокровища КРЫМА"" 0,75Л",АМ1009,Русвинторг,0.75,,535.96,,1177.0,0,1177.0,0
1085,"Вино сухое красное ""Саперави Мерло"" ""Сокровища КРЫМА"" 0,75Л",АМ1010,Русвинторг,0.75,,535.96,,1.0,0,1.0,0
1086,"Вино сухое красное ""Саперави"" ""ВАЛИКО"" 0,75Л",АМ1005,Русвинторг,0.75,,551.86,,271.0,6.0,271.0,0
1087,Долинное Кача Велли красное сухое 0.75л,ЛД1828,Ладога Дистрибьюшен,0.75,,4547.2,,1.0,0,1.0,0
1088,Каберне Отборное ЕССЕ сухое красное 0.75л,ЛД1824,Ладога Дистрибьюшен,0.75,,960.0,,31.0,0,31.0,0
1089,Каберне Фран ЕССЕ красное сухое 0.75л,ЛД1831,Ладога Дистрибьюшен,0.75,,1420.8,,2.0,0,2.0,0
1090,МаМа ЕССЕ красное сухое 0.75л,ЛД1826,Ладога Дистрибьюшен,0.75,,1673.6,,49.0,0,49.0,0
1091,Мерло ЕССЕ красное сухое 0.75л,ЛД1825,Ладога Дистрибьюшен,0.75,,1369.6,,6.0,0,6.0,0
1092,Мерло Отборное ЕССЕ сухое красное 0.75л,ЛД1823,Ладога Дистрибьюшен,0.75,,926.4,,41.0,0,41.0,0
1093,Ркацители ЕССЕ сухое белое 0.75л,ЛД1822,Ладога Дистрибьюшен,0.75,,891.2,,24.0,0,24.0,0
1094,Ркацители Оранж ЕССЕ белое сухое 0.75л,ЛД1815,Ладога Дистрибьюшен,0.75,,1416.0,,2.0,0,2.0,0
1095,Ркацители Сюр Ли ЕССЕ белое сухое 0.75л,ЛД1820,Ладога Дистрибьюшен,0.75,,1323.2,,4.0,0,4.0,0
1096,Розе ЕССЕ сухое розовое 0.75л,ЛД1830,Ладога Дистрибьюшен,0.75,,960.0,,18.0,0,18.0,0
1097,Саперави Хевен ЕССЕ красное сухое 0.75л,ЛД1844,Ладога Дистрибьюшен,0.75,,1416.0,,38.0,0,38.0,0
1098,Совиньон Блан ЕССЕ белое сухое вино 0.75л,ЛД1887,Ладога Дистрибьюшен,0.75,,960.0,,35.0,0,35.0,0
1099,Топчикой Белый Бленд белое сухое вино 0.75л,ЦД055,Центр дистрибьюции ООО,0.75,,684.55,,72.0,0,72.0,0
1100,Топчикой Красный Бленд красное сухое вино 0.75л,ЦД056,Центр дистрибьюции ООО,0.75,,684.55,,30.0,0,30.0,0
1101,Топчикой Пушка белое сухое вино 0.75л,ЦД058,Центр дистрибьюции ООО,0.75,,684.55,,54.0,0,54.0,0
1102,Топчикой Пушка красное сухое вино 0.75л,ЦД057,Центр дистрибьюции ООО,0.75,,684.55,,42.0,0,42.0,0
1103,Шардоне Отборное ЕССЕ сухое белое 0.75л,ЛД1856,Ладога Дистрибьюшен,0.75,,960.0,,41.0,0,41.0,0
1104,Эволюшн Пино Нуар красное сухое вино 0.75л,АИ1367,АСТ-интернэшнл инваэронмэнт,0.75,,1967.63,,4.0,2.0,4.0,0
1106,Вино полусладкое белое  Черноморская гроздь  1л.,КУ001,,1,,276.93,,2886.0,120.0,2886.0,0
1108,"Вино полусладкое белое ""Шардоне"" 1,5Л",КУ007,,1.5,,612.0,,244.0,0,244.0,0
1109,Вино полусладкое красное  Черноморская гроздь 1л.,КУ002,,1,,276.93,,3793.0,120.0,3793.0,0
1110,Вино Сухое белое Черноморская гроздь 1л.,КУ003,,1,,276.93,,2892.0,120.0,2892.0,0
1111,"Вино сухое красное ""Сухое красное"" ""Черноморская гроздь"" 1,0Л",КУ008,,1,,276.93,,3457.0,120.0,3457.0,0
1116,Российское вино Кубань Таманский полуостров Макитра сухое белое 0.75л,КВ598Д,Кубань-Вино ООО,0.75,,423.31,,286.0,0,286.0,0
1122,Ле Селебр белое сухое 0.75л,КО012,Виалко групп,0.75,,341.59,,12.0,0,12.0,0
1123,Ле Селебр красное сухое 0.75л,КО011,Виалко групп,0.75,,341.59,,7.0,0,7.0,0
1124,Легато Каберне Фран красное сухое вино 0.75л,ФР169,Форт Виноторговая компания,0.75,,8286.71,,6.0,0,6.0,0
1125,Легато Мерло красное сухое вино 0.75л,ФР235,Форт Виноторговая компания,0.75,,6553.05,,6.0,0,6.0,0
1126,Легато Совиньон Блан Мцване белое сухое вино 0.75л,ФР285,Форт Виноторговая компания,0.75,,2986.2,,12.0,0,12.0,0
1127,Легато Шардоне белое сухое вино 0.75л,ФР236,Форт Виноторговая компания,0.75,,7258.13,,6.0,0,6.0,0
1128,Легенда Полуострова белое полусладкое 0.75л Инкерман,ИН158,ВИННЫЙ ДОМ ИНКЕРМАН ООО,0.75,,513.62,,17.0,0,17.0,0
1130,"Вино  полусладкое белое САНЧАРА 0,75л.",МС313,Мистраль алко,0.75,,464.98,,24.0,0,24.0,0
1131,"Вино сухое белое Восток дю Шато ле Гран Восток 0,375л.",МС312,Мистраль алко,0.375,,481.28,,36.0,0,36.0,0
1132,"Вино сухое белое Восток дю Шато ле Гран Восток 0,75л.",МС310,Мистраль алко,0.75,,738.2,,102.0,0,102.0,0
1133,"Вино сухое красное Восток дю Шато ле Гран Восток 0,75л.",МС311,Мистраль алко,0.75,,738.2,,18.0,0,18.0,0
1134,Моно Красностоп красное сухое вино 0.75л Винодельня Узунов,ФР171,Форт Виноторговая компания,0.75,,3707.87,,9.0,0,9.0,0
1135,Натуралеса Мерло красное полусладкое вино 0.33л ж/б,ВШ055,ВИЛАШ-КШВ ООО,0.33,,160.65,,204.0,0,204.0,0
